date,mktrf,smb,hml,rmw,cma,rf
2022-12-06,-0.0151,-0.0003,0.0114,0.0086,0.0077,0.00016
2022-12-07,-0.0024,-0.0018,-0.0032,0.0009,-0.0016,0.00016
2022-12-08,0.0076,-0.001,-0.012,-0.0056,-0.0063,0.00016
2022-12-09,-0.008,-0.0053,0.0034,0.0019,0.0013,0.00016
2022-12-12,0.0141,-0.0027,-0.0016,-0.0023,-0.0013,0.00016
2022-12-13,0.0066,0.0007,-0.0077,-0.0027,-0.0054,0.00016
2022-12-14,-0.0056,0.0003,-0.0045,-0.0019,-0.0007,0.00016
2022-12-15,-0.0257,-0.0013,0.0139,0.0025,0.0042,0.00016
2022-12-16,-0.0102,0.0054,0.0017,-0.0008,0.0046,0.00016
2022-12-19,-0.01,-0.006,0.0125,0.0073,0.012,0.00016
2022-12-20,0.0013,0.0025,0.0025,-0.0046,0.0048,0.00016
2022-12-21,0.0153,0.0014,-0.0012,0.0039,-0.0029,0.00016
2022-12-22,-0.0152,0.0022,0.0038,-0.0013,0.0089,0.00016
2022-12-23,0.0052,-0.0035,0.0116,0.0086,0.0053,0.00016
2022-12-27,-0.005,-0.0042,0.0142,0.0115,0.0135,0.00016
2022-12-28,-0.0124,-0.003,-0.0028,-0.0093,-0.0008,0.00016
2022-12-29,0.0187,0.0102,-0.0106,-0.0103,-0.009,0.00016
2022-12-30,-0.0022,0.0014,-0.0004,-0.0054,-0.0002,0.00016
2023-01-03,-0.0047,0.0008,-0.001,0.0027,0.0054,0.00017
2023-01-04,0.0081,0.0056,0.0005,-0.0069,0.0,0.00017
2023-01-05,-0.0114,0.0017,0.012,0.0081,0.009,0.00017
2023-01-06,0.0221,-0.0001,0.0003,0.0082,0.0018,0.00017
2023-01-09,0.0004,0.0033,-0.0123,-0.0065,-0.0116,0.00017
2023-01-10,0.0079,0.0087,-0.0056,-0.004,-0.005,0.00017
2023-01-11,0.0125,0.0001,-0.0083,-0.0019,-0.0107,0.00017
2023-01-12,0.0045,0.014,-0.0027,-0.011,-0.0051,0.00017
2023-01-13,0.0046,0.0024,-0.0031,-0.0014,-0.0029,0.00017
2023-01-17,-0.0018,-0.0001,-0.0055,-0.0061,-0.0043,0.00017
2023-01-18,-0.0155,0.0002,-0.0071,0.0027,0.0002,0.00017
2023-01-19,-0.0086,-0.001,0.0084,0.0054,0.007,0.00017
2023-01-20,0.0194,-0.0004,-0.0068,-0.0017,-0.008,0.00017
2023-01-23,0.0128,-0.0004,-0.0099,-0.0041,-0.0104,0.00017
2023-01-24,-0.0016,-0.0016,0.0018,-0.0019,0.0038,0.00017
2023-01-25,0.0,0.0013,0.0069,0.0006,0.0021,0.00017
2023-01-26,0.0109,-0.0064,0.0001,-0.002,-0.0047,0.00017
2023-01-27,0.0034,0.0033,-0.0113,-0.006,-0.0129,0.00017
2023-01-30,-0.0138,0.0003,0.0074,0.0036,0.0093,0.00017
2023-01-31,0.0158,0.0093,-0.0006,-0.001,-0.0055,0.00017
2023-02-01,0.0119,0.0063,-0.0165,-0.0012,-0.0115,0.00018
2023-02-02,0.0154,0.0115,-0.0207,-0.0024,-0.0176,0.00018
2023-02-03,-0.0108,0.004,0.0098,0.0101,0.0105,0.00018
2023-02-06,-0.0073,-0.008,0.0043,-0.0023,0.0046,0.00018
2023-02-07,0.0125,-0.005,-0.0004,0.003,-0.0036,0.00018
2023-02-08,-0.0118,-0.0069,0.0071,-0.0029,-0.0004,0.00018
2023-02-09,-0.0094,-0.0061,0.0021,0.0031,0.0038,0.00018
2023-02-10,0.0012,-0.003,0.015,0.0054,0.0091,0.00018
2023-02-13,0.0114,0.0009,-0.0073,0.0049,-0.0031,0.00018
2023-02-14,0.0012,-0.0005,-0.0068,-0.0061,-0.0094,0.00018
2023-02-15,0.005,0.0072,-0.0091,-0.0119,-0.0106,0.00018
2023-02-16,-0.0137,0.0022,0.0097,0.0081,0.0092,0.00018
2023-02-17,-0.0028,0.0066,-0.0014,0.0014,0.0056,0.00018
2023-02-21,-0.0216,-0.0113,0.0088,0.0038,0.0083,0.00018
2023-02-22,-0.0004,0.0044,-0.0046,-0.0035,-0.0043,0.00018
2023-02-23,0.0047,0.0012,-0.0023,0.002,-0.0049,0.00018
2023-02-24,-0.0108,-0.0024,0.0126,0.0031,0.0042,0.00018
2023-02-27,0.0031,0.0005,-0.003,0.0007,-0.0045,0.00018
2023-02-28,-0.0026,0.0052,-0.0069,-0.0057,-0.0018,0.00018
2023-03-01,-0.0041,0.0039,0.0062,0.0015,0.0073,0.00016
2023-03-02,0.0067,-0.0052,-0.0044,-0.0012,0.0016,0.00016
2023-03-03,0.0161,-0.0008,-0.0054,-0.0037,-0.0077,0.00016
2023-03-06,-0.0013,-0.0157,-0.0008,0.0031,-0.0012,0.00016
2023-03-07,-0.0145,0.0063,-0.0068,-0.0013,-0.0012,0.00016
2023-03-08,0.0008,0.0007,-0.0039,0.0043,-0.0015,0.00016
2023-03-09,-0.0202,-0.007,-0.0076,0.0106,0.0074,0.00016
2023-03-10,-0.0168,-0.0141,0.0072,0.0108,0.0116,0.00016
2023-03-13,-0.0034,-0.0117,-0.036,-0.0109,-0.0073,0.00016
2023-03-14,0.0172,0.0001,-0.0036,-0.0015,-0.0046,0.00016
2023-03-15,-0.0079,-0.0051,-0.0184,0.0031,-0.0044,0.00016
2023-03-16,0.0176,0.0001,-0.0016,0.0013,-0.0072,0.00016
2023-03-17,-0.0121,-0.0106,-0.0163,0.0027,-0.0024,0.00016
2023-03-20,0.0084,-0.0035,0.0078,0.0051,0.0076,0.00016
2023-03-21,0.0149,0.0047,0.0073,-0.0026,-0.0121,0.00016
2023-03-22,-0.0174,-0.008,-0.0053,0.0079,0.0023,0.00016
2023-03-23,0.0021,-0.0043,-0.0154,0.0015,-0.0085,0.00016
2023-03-24,0.0046,0.0018,0.0071,0.003,0.0038,0.00016
2023-03-27,0.0028,0.005,0.0103,-0.0021,0.0041,0.00016
2023-03-28,-0.0017,-0.0003,0.0075,0.0011,0.0047,0.00016
2023-03-29,0.0139,-0.0036,-0.0054,-0.0092,-0.0057,0.00016
2023-03-30,0.0051,-0.0062,-0.006,0.0021,-0.0007,0.00016
2023-03-31,0.0153,0.0049,-0.0076,-0.0048,-0.0082,0.00016
2023-04-03,0.0028,-0.0017,0.0079,0.0055,0.0071,0.00018
2023-04-04,-0.0072,-0.0113,-0.0072,-0.0005,-0.0001,0.00018
2023-04-05,-0.0039,-0.01,0.014,0.0079,0.0129,0.00018
2023-04-06,0.0034,-0.0003,-0.0051,-0.0044,-0.0016,0.00018
2023-04-10,0.002,0.0085,0.0026,-0.0002,-0.0013,0.00018
2023-04-11,0.0006,0.0069,0.0055,0.0005,0.0013,0.00018
2023-04-12,-0.0051,-0.0043,0.0037,0.0048,0.0045,0.00018
2023-04-13,0.0139,0.0015,-0.0119,-0.0026,-0.0075,0.00018
2023-04-14,-0.0023,-0.0076,0.002,0.0072,0.0013,0.00018
2023-04-17,0.0033,0.0071,-0.002,-0.0129,-0.0033,0.00018
2023-04-18,0.0004,-0.0041,-0.0031,0.0005,0.0018,0.00018
2023-04-19,-0.0004,0.0027,0.0042,0.0001,0.0011,0.00018
2023-04-20,-0.0061,0.0014,-0.0028,0.0073,0.0053,0.00018
2023-04-21,0.0008,0.0009,-0.0095,-0.0063,-0.0018,0.00018
2023-04-24,0.0,-0.0027,0.0046,0.0068,0.0032,0.00018
2023-04-25,-0.0176,-0.0082,0.0009,0.0043,0.0096,0.00018
2023-04-26,-0.0042,-0.0004,-0.0074,0.0002,-0.0039,0.00018
2023-04-27,0.0185,-0.006,0.0,0.0045,-0.0025,0.00018
2023-04-28,0.0078,0.0022,0.0019,0.0013,0.0022,0.00018
2023-05-01,-0.0002,0.0019,-0.0082,-0.0039,0.0024,0.00016
2023-05-02,-0.0127,-0.0074,-0.0146,0.0061,0.0017,0.00016
2023-05-03,-0.0057,0.0088,-0.0103,-0.0093,-0.0041,0.00016
2023-05-04,-0.0078,-0.0052,-0.0104,-0.0061,-0.0032,0.00016
2023-05-05,0.0191,0.005,0.0069,0.0026,-0.0072,0.00016
2023-05-08,0.0007,-0.0038,-0.003,-0.0054,-0.0038,0.00016
2023-05-09,-0.0043,0.0011,-0.0002,-0.004,-0.0043,0.00016
2023-05-10,0.0043,0.002,-0.0132,-0.0013,-0.0083,0.00016
2023-05-11,-0.002,-0.0052,-0.0009,0.0084,0.0013,0.00016
2023-05-12,-0.0022,-0.001,0.0034,0.0038,0.0048,0.00016
2023-05-15,0.0046,0.008,0.0002,-0.0065,-0.0053,0.00016
2023-05-16,-0.0072,-0.0046,-0.0048,0.0079,-0.0013,0.00016
2023-05-17,0.0131,0.0085,0.0122,-0.003,-0.0032,0.00016
2023-05-18,0.0099,-0.0023,-0.0038,0.0019,-0.0071,0.00016
2023-05-19,-0.0026,-0.0038,-0.0032,-0.0002,0.0014,0.00016
2023-05-22,0.0017,0.0112,-0.002,-0.0126,-0.0094,0.00016
2023-05-23,-0.011,0.006,0.0109,0.0018,0.0024,0.00016
2023-05-24,-0.0072,-0.0039,-0.002,-0.0003,-0.0007,0.00016
2023-05-25,0.0065,-0.0104,-0.0108,0.018,-0.0132,0.00016
2023-05-26,0.0132,-0.003,-0.0086,-0.0023,-0.0058,0.00016
2023-05-30,-0.0001,-0.0025,-0.0042,-0.0029,-0.0098,0.00016
2023-05-31,-0.006,-0.0026,-0.0116,-0.0111,0.0012,0.00016
2023-06-01,0.0102,0.0007,-0.0006,0.0003,-0.0041,0.00019
2023-06-02,0.0162,0.0172,0.0166,0.0036,0.0071,0.00019
2023-06-05,-0.0026,-0.0111,-0.0075,-0.0065,-0.0047,0.00019
2023-06-06,0.0046,0.0225,0.0135,-0.002,-0.0046,0.00019
2023-06-07,-0.0036,0.0189,0.0228,0.0076,0.0139,0.00019
