ticker,quarter,m01p01,0p1,0p2
CAH,2025Q2,,,
CAH,2025Q3,,,
CARR,2023Q4,0.005044651538965593,0.009292802154472935,0.009292802154472935
CARR,2024Q1,-0.0585439259557426,-0.05801259810773776,-0.044906255586872015
CARR,2024Q2,0.09350832705635218,0.0990286062367701,0.0990286062367701
CARR,2024Q3,-0.023651645531608624,-0.009593847867871848,-0.009593847867871848
CARR,2024Q4,-0.07288164147433598,-0.07997188999788854,-0.07997188999788854
CARR,2025Q1,,,
CARR,2025Q2,,,
CARR,2025Q3,,,
CAT,2023Q4,-0.05063101470551051,-0.05223674596539217,-0.058567875202650097
CAT,2024Q1,0.03594131927730773,0.03594131927730773,0.031784980189163536
CAT,2024Q2,-0.05954897325644191,-0.05820051491236732,-0.05820051491236732
CAT,2024Q3,0.052008949757024164,0.025814419448951992,0.029860331829244934
CAT,2024Q4,-0.015197340621514057,-0.009321295218981071,-0.004872481822875934
CAT,2025Q1,,,
CAT,2025Q2,,,
CAT,2025Q3,,,
CB,2023Q4,0.04602093541323954,0.04568464786424578,0.028845143565915016
CB,2024Q1,-0.0007566065741207444,0.008426268568676726,0.017699372921793306
CB,2024Q2,-0.038799066923891366,-0.03808838631281968,-0.02557872898318727
CB,2024Q3,0.0037864754346234224,0.004287916400125733,0.0159691363622633
CB,2024Q4,-0.017198826204662458,-0.020321244606937412,-0.02317909742596647
CB,2025Q1,,,
CB,2025Q2,,,
CB,2025Q3,,,
CBOE,2023Q4,,,
CBOE,2024Q1,,,
CBOE,2024Q2,,,
CBOE,2024Q3,,,
CBOE,2024Q4,,,
CBOE,2025Q1,,,
CBOE,2025Q2,,,
CBOE,2025Q3,,,
CBRE,2023Q4,0.026876637774711946,,
CBRE,2024Q1,0.059731139753890564,0.06300668439258651,0.06300668439258651
CBRE,2024Q2,-0.021476220700163594,,
CBRE,2024Q3,0.10388808880816076,0.09601191254534251,0.09601191254534251
CBRE,2024Q4,0.0845590925766743,0.08005576743689041,0.08005576743689041
CBRE,2025Q1,,,
CBRE,2025Q2,,,
CBRE,2025Q3,,,
CCI,2023Q4,-0.06959615315875352,-0.05678832170976768,-0.04119146118310541
CCI,2024Q1,0.016161002828946627,0.020375625724164986,0.004712350973152521
CCI,2024Q2,-0.014415469282455382,-0.007251692410855447,-0.015699545933502014
CCI,2024Q3,0.017236312995842645,0.028219223902877687,0.03877378258283206
CCI,2024Q4,-0.016043536618288508,-0.03390117745622023,-0.02680839137187088
CCI,2025Q1,,,
CCI,2025Q2,,,
CCI,2025Q3,,,
CCL,2023Q3,-0.029001383844930013,,
CCL,2023Q4,0.003177718700576277,0.0005071120927082791,0.0005071120927082791
CCL,2024Q1,-0.07476159256640519,-0.07018382896668363,-0.07018382896668363
CCL,2024Q2,0.14632318198193836,0.13342058091691938,0.1371093532954497
CCL,2024Q3,-0.006066559137083305,-0.006066559137083305,-0.025856811263658692
CCL,2024Q4,0.059238206499268295,,
CCL,2025Q1,,,
CCL,2025Q2,,,
CDNS,2023Q4,-0.01588745623395593,-0.01588745623395593,-0.026905022816834195
CDNS,2024Q1,-0.033390856351666866,-0.033390856351666866,-0.0319404511097927
CDNS,2024Q2,-0.02962033913145038,-0.02962033913145038,-0.0436349772529529
CDNS,2024Q3,0.0012642795164662692,0.0012642795164662692,-0.01253138358906616
CDNS,2024Q4,0.10040357076128323,0.10040357076128323,0.13240720003161996
CDNS,2025Q1,,,
CDNS,2025Q2,,,
CDNS,2025Q3,,,
CDW,2023Q4,0.019652591926865276,0.00579104433255871,0.010189092109518834
CDW,2024Q1,0.04163802482037157,0.048282988958530296,0.04695295350799199
CDW,2024Q2,-0.0986579150229659,-0.10169236578783698,-0.11118590561301349
CDW,2024Q3,-0.0747885619977816,-0.08989979711449336,-0.08896255966930147
CDW,2024Q4,-0.12262567726754506,-0.1349193191440086,-0.13267947709240402
CDW,2025Q1,,,
CDW,2025Q2,,,
CDW,2025Q3,,,
CEG,2023Q4,0.023144361896517536,0.023144361896517536,0.03516859956286633
CEG,2024Q1,0.2628838651096257,0.26492684393588106,0.24314320060914807
CEG,2024Q2,0.05262405902956873,0.018638101230801743,0.018638101230801743
CEG,2024Q3,0.11467091299974247,0.0570995889979906,0.054479017888939364
CEG,2024Q4,-0.11475278199733278,-0.11475278199733278,-0.11272090190696646
CEG,2025Q1,,,
CEG,2025Q2,,,
CEG,2025Q3,,,
CF,2023Q4,-0.0469380726868175,-0.02639318462903721,-0.03316686649011431
CF,2024Q1,-0.01506546814011428,-0.0031786633354767557,0.014025202179847849
CF,2024Q2,-0.06803763658244041,-0.0644006036849306,-0.0729672349751687
CF,2024Q3,0.08008215304831887,0.07780913067084815,0.07934097433061899
CF,2024Q4,0.014486516569419124,0.017854896015948182,0.039723323705638774
CF,2025Q1,,,
CF,2025Q2,,,
CF,2025Q3,,,
CFG,2023Q4,-0.022906788358816085,-0.028290659462505606,-0.046737151207356116
CFG,2024Q1,0.034254666259736714,0.02556491979283112,0.025050989149009047
CFG,2024Q2,-0.0013011112953362422,-0.0068341838022535645,-0.007587273670063179
CFG,2024Q3,-0.010632335762135264,0.011254116828266048,0.025750565861036835
CFG,2024Q4,-0.053776825167824095,-0.05597900640014737,-0.042634681820629225
CFG,2025Q1,,,
CFG,2025Q2,,,
CFG,2025Q3,,,
CHD,2023Q4,-0.04891560827288652,,
CHD,2024Q1,-0.0093360290166183,,
CHD,2024Q2,-0.007671045485476478,0.0035110718870838176,0.0035110718870838176
CHD,2024Q3,0.010183569279559393,,
CHD,2024Q4,0.045139204929318485,,
CHD,2025Q1,,,
CHD,2025Q2,,,
CHD,2025Q3,,,
CHRW,2023Q4,-0.009996250761206828,-0.025268681951787483,-0.036533183110737034
CHRW,2024Q1,-0.13606154457321396,-0.14081512834284285,-0.11757573032259325
CHRW,2024Q2,0.13949248260360192,0.13829639416109596,0.13941116614009735
CHRW,2024Q3,0.1518316276843362,0.16161150001880026,0.14294383325183602
CHRW,2024Q4,-0.058287382026006945,-0.04979518908839462,-0.0629177376248024
CHRW,2025Q1,,,
CHRW,2025Q2,,,
CHRW,2025Q3,,,
CHTR,2023Q4,-0.1013132525451127,,
CHTR,2024Q1,-0.14105779570068303,,
CHTR,2024Q2,-0.03604148890175231,,
CHTR,2024Q3,0.1495818360198262,,
CHTR,2024Q4,0.11618693063937252,,
CHTR,2025Q1,,,
CHTR,2025Q2,,,
CHTR,2025Q3,,,
CI,2023Q4,-0.025609228124015816,,
CI,2024Q1,,,
CI,2024Q2,-0.04468714142242305,,
CI,2024Q3,-0.018331864692493226,,
CI,2024Q4,0.018248707039534313,,
CI,2025Q1,,,
CI,2025Q2,,,
CI,2025Q3,,,
CINF,2023Q4,0.013343543490121568,0.00849288801903349,0.00849288801903349
CINF,2024Q1,-0.04428827766500823,-0.04568841754150313,-0.03912887603522947
CINF,2024Q2,-0.07954731119303156,-0.0709430693869916,-0.0709430693869916
CINF,2024Q3,0.020449636409279052,0.031186704497628337,0.031186704497628337
CINF,2024Q4,0.02198817767669691,0.02585866747176224,0.02585866747176224
CINF,2025Q1,,,
CINF,2025Q2,,,
CINF,2025Q3,,,
CL,2023Q4,0.00024406358081150662,,
CL,2024Q1,0.027182088140679087,,
CL,2024Q2,0.018653658203643862,,
CL,2024Q3,0.023863861348147032,,
CL,2024Q4,,,
CL,2025Q1,,,
CL,2025Q2,,,
CL,2025Q3,,,
CLX,2023Q4,0.043538763219868264,,0.07576978690374588
CLX,2024Q1,0.07321616966807708,,
CLX,2024Q2,-0.05349811292902435,,-0.050451265114431196
CLX,2024Q3,0.11479797384798904,,
CLX,2024Q4,0.008823605472863125,,0.0411240627520412
CLX,2025Q1,,,
CLX,2025Q2,,,
CLX,2025Q3,,,
