indexname,gvkey,tic,companyname,primaryflag,fromdate
S&P 500,034636,FOXA,Fox Corporation,1,2019-03-19
S&P 500,004885,BEN,"Franklin Resources, Inc.",1,2009-12-18
S&P 500,014590,FCX,Freeport-McMoRan Inc.,1,2009-12-18
S&P 500,041818,GEHC,GE HealthCare Technologies Inc.,1,2023-01-04
S&P 500,045169,GEV,GE Vernova Inc.,1,2024-04-02
S&P 500,141459,GRMN,Garmin Ltd.,1,2012-12-12
S&P 500,012441,IT,"Gartner, Inc.",1,2017-04-05
S&P 500,015855,GEN,Gen Digital Inc.,1,2022-11-08
S&P 500,183736,GNRC,Generac Holdings Inc.,1,2021-03-22
S&P 500,005046,GD,General Dynamics Corporation,1,2009-12-18
S&P 500,005047,GE,General Electric Company,1,2021-08-02
S&P 500,005071,GIS,"General Mills, Inc.",1,2009-12-18
S&P 500,005073,GM,General Motors Company,1,2013-06-07
S&P 500,005125,GPC,Genuine Parts Company,1,2009-12-18
S&P 500,024856,GILD,"Gilead Sciences, Inc.",1,2009-12-18
S&P 500,141913,GPN,Global Payments Inc.,1,2016-04-25
S&P 500,010614,GL,Globe Life Inc.,1,2019-08-09
S&P 500,023071,GDDY,GoDaddy Inc.,1,2024-06-24
S&P 500,022260,HCA,"HCA Healthcare, Inc.",1,2015-01-27
S&P 500,005606,HPQ,HP Inc.,1,2015-11-02
S&P 500,005439,HAL,Halliburton Company,1,2009-12-18
S&P 500,005518,HAS,"Hasbro, Inc.",1,2009-12-18
S&P 500,013125,DOC,"Healthpeak Properties, Inc.",1,2024-03-04
S&P 500,061494,HSIC,"Henry Schein, Inc.",1,2015-03-18
S&P 500,026156,HPE,Hewlett Packard Enterprise Company,1,2015-11-02
S&P 500,005643,HLT,Hilton Worldwide Holdings Inc.,1,2017-06-19
S&P 500,020904,HOLX,"Hologic, Inc.",1,2016-03-30
S&P 500,001300,HON,Honeywell International Inc.,1,2009-12-18
S&P 500,005709,HRL,Hormel Foods Corporation,1,2009-12-18
S&P 500,007063,HST,"Host Hotels & Resorts, Inc.",1,2009-12-18
S&P 500,028192,HWM,Howmet Aerospace Inc.,1,2020-04-01
S&P 500,005764,HUBB,Hubbell Incorporated,1,2023-10-18
S&P 500,027914,HUM,Humana Inc.,1,2009-12-18
S&P 500,005786,HBAN,Huntington Bancshares Incorporated,1,2009-12-18
S&P 500,186310,HII,"Huntington Ingalls Industries, Inc.",1,2018-01-03
S&P 500,015267,IEX,IDEX Corporation,1,2019-08-09
S&P 500,024197,IDXX,"IDEXX Laboratories, Inc.",1,2017-01-05
S&P 500,017928,IQV,IQVIA Holdings Inc.,1,2017-11-15
S&P 500,005878,ITW,Illinois Tool Works Inc.,1,2009-12-18
S&P 500,029127,INCY,Incyte Corporation,1,2017-02-28
S&P 500,030098,IR,Ingersoll Rand Inc.,1,2020-03-03
S&P 500,177227,PODD,Insulet Corporation,1,2023-03-15
S&P 500,006008,INTC,Intel Corporation,1,2009-12-18
S&P 500,176701,IBKR,"Interactive Brokers Group, Inc.",1,2025-08-28
S&P 500,163610,ICE,"Intercontinental Exchange, Inc.",1,2013-11-13
S&P 500,006066,IBM,International Business Machines Corporation,1,2009-12-18
S&P 500,006078,IFF,International Flavors & Fragrances Inc.,1,2009-12-18
S&P 500,006104,IP,International Paper Company,1,2009-12-18
S&P 500,027928,INTU,Intuit Inc.,1,2009-12-18
S&P 500,136725,ISRG,"Intuitive Surgical, Inc.",1,2009-12-18
S&P 500,029804,IVZ,Invesco Ltd.,1,2009-12-18
S&P 500,030004,INVH,Invitation Homes Inc.,1,2022-09-19
S&P 500,062374,IRM,Iron Mountain Incorporated,1,2015-01-21
S&P 500,005783,JBHT,"J.B. Hunt Transport Services, Inc.",1,2015-07-01
S&P 500,002968,JPM,JPMorgan Chase & Co.,1,2009-12-18
S&P 500,028195,JBL,Jabil Inc.,1,2023-12-18
S&P 500,011811,JKHY,"Jack Henry & Associates, Inc.",1,2018-11-13
S&P 500,006216,J,Jacobs Solutions Inc.,1,2022-08-29
S&P 500,006266,JNJ,Johnson & Johnson,1,2009-12-18
S&P 500,006268,JCI,Johnson Controls International plc,1,2016-09-06
S&P 500,179741,KKR,KKR & Co. Inc.,1,2024-06-24
S&P 500,006304,KLAC,KLA Corporation,1,2009-12-18
S&P 500,006375,K,Kellanova,1,2023-10-04
S&P 500,041897,KVUE,Kenvue Inc.,1,2023-08-25
S&P 500,028877,KDP,Keurig Dr Pepper Inc.,1,2022-06-21
S&P 500,009783,KEY,KeyCorp,1,2009-12-18
S&P 500,020232,KEYS,"Keysight Technologies, Inc.",1,2018-11-06
S&P 500,006435,KMB,Kimberly-Clark Corporation,1,2009-12-18
S&P 500,024731,KIM,Kimco Realty Corporation,1,2009-12-18
S&P 500,006310,KMI,"Kinder Morgan, Inc.",1,2012-05-25
S&P 500,005492,LHX,"L3Harris Technologies, Inc.",1,2019-07-01
S&P 500,155394,LKQ,LKQ Corporation,1,2016-05-23
S&P 500,014960,LH,Labcorp Holdings Inc.,1,2024-05-20
S&P 500,006565,LRCX,Lam Research Corporation,1,2024-10-03
S&P 500,028790,LW,"Lamb Weston Holdings, Inc.",1,2018-12-03
S&P 500,161844,LVS,Las Vegas Sands Corp.,1,2019-10-03
S&P 500,165123,LDOS,"Leidos Holdings, Inc.",1,2019-08-09
S&P 500,006669,LEN,Lennar Corporation,1,2009-12-18
S&P 500,122380,LII,Lennox International Inc.,1,2024-12-23
S&P 500,025124,LIN,Linde plc,1,2023-03-02
S&P 500,165746,LYV,"Live Nation Entertainment, Inc.",1,2019-12-23
S&P 500,006774,LMT,Lockheed Martin Corporation,1,2009-12-18
S&P 500,006781,L,Loews Corporation,1,2009-12-18
S&P 500,006829,LOW,"Lowe's Companies, Inc.",1,2009-12-18
S&P 500,294524,LYB,LyondellBasell Industries N.V.,1,2012-09-05
S&P 500,004699,MTB,M&T Bank Corporation,1,2009-12-18
S&P 500,014418,MGM,MGM Resorts International,1,2017-07-26
S&P 500,178507,MSCI,MSCI Inc.,1,2018-04-04
S&P 500,186989,MPC,Marathon Petroleum Corporation,1,2011-07-01
S&P 500,158742,MKTX,MarketAxess Holdings Inc.,1,2019-07-01
S&P 500,028930,MAR,"Marriott International, Inc.",1,2009-12-18
S&P 500,007065,MMC,"Marsh & McLennan Companies, Inc.",1,2009-12-18
S&P 500,029733,MLM,"Martin Marietta Materials, Inc.",1,2014-07-02
S&P 500,007085,MAS,Masco Corporation,1,2009-12-18
S&P 500,160225,MA,Mastercard Incorporated,1,2009-12-18
S&P 500,026061,MTCH,"Match Group, Inc.",1,2021-09-20
S&P 500,007146,MKC,"McCormick & Company, Incorporated",1,2009-12-18
S&P 500,007154,MCD,McDonald's Corporation,1,2009-12-18
S&P 500,007171,MCK,McKesson Corporation,1,2009-12-18
S&P 500,007228,MDT,Medtronic plc,1,2015-01-27
S&P 500,007257,MRK,"Merck & Co., Inc.",1,2009-12-18
S&P 500,133768,MET,"MetLife, Inc.",1,2009-12-18
S&P 500,170617,META,"Meta Platforms, Inc.",1,2022-06-09
S&P 500,065772,MTD,Mettler-Toledo International Inc.,1,2016-09-06
S&P 500,027965,MCHP,Microchip Technology Incorporated,1,2009-12-18
S&P 500,007343,MU,"Micron Technology, Inc.",1,2009-12-18
S&P 500,012141,MSFT,Microsoft Corporation,1,2009-12-18
S&P 500,029649,MAA,"Mid-America Apartment Communities, Inc.",1,2016-12-02
S&P 500,034410,MRNA,"Moderna, Inc.",1,2021-07-21
S&P 500,025119,MHK,"Mohawk Industries, Inc.",1,2013-12-23
S&P 500,152149,MOH,"Molina Healthcare, Inc.",1,2022-03-02
S&P 500,003505,TAP,Molson Coors Beverage Company,1,2009-12-18
S&P 500,142953,MDLZ,"Mondelez International, Inc.",1,2012-10-02
S&P 500,160888,MPWR,"Monolithic Power Systems, Inc.",1,2021-02-12
S&P 500,024316,MNST,Monster Beverage Corporation,1,2015-06-15
S&P 500,139665,MCO,Moody's Corporation,1,2009-12-18
S&P 500,012124,MS,Morgan Stanley,1,2009-12-18
S&P 500,007585,MSI,"Motorola Solutions, Inc.",1,2011-01-04
S&P 500,007906,NKE,"NIKE, Inc.",1,2009-12-18
S&P 500,135990,NRG,"NRG Energy, Inc.",1,2010-01-29
S&P 500,117768,NVDA,NVIDIA Corporation,1,2009-12-18
S&P 500,012459,NVR,"NVR, Inc.",1,2019-09-26
S&P 500,184725,NXPI,NXP Semiconductors N.V.,1,2021-03-22
S&P 500,149337,NDAQ,"Nasdaq, Inc.",1,2009-12-18
S&P 500,061591,NTAP,"NetApp, Inc.",1,2009-12-18
S&P 500,147579,NFLX,"Netflix, Inc.",1,2010-12-20
S&P 500,007881,NEM,Newmont Corporation,1,2009-12-18
S&P 500,018043,NWSA,News Corporation,1,2013-07-01
S&P 500,018043,NWS,News Corporation,0,2015-09-21
S&P 500,004517,NEE,"NextEra Energy, Inc.",1,2010-06-23
S&P 500,007974,NI,NiSource Inc.,1,2009-12-18
S&P 500,007921,NDSN,Nordson Corporation,1,2022-02-15
S&P 500,007923,NSC,Norfolk Southern Corporation,1,2009-12-18
S&P 500,007982,NTRS,Northern Trust Corporation,1,2009-12-18
S&P 500,007985,NOC,Northrop Grumman Corporation,1,2009-12-18
S&P 500,104432,NCLH,Norwegian Cruise Line Holdings Ltd.,1,2017-10-13
S&P 500,008030,NUE,Nucor Corporation,1,2009-12-18
S&P 500,028180,ORLY,"O'Reilly Automotive, Inc.",1,2010-12-30
S&P 500,134932,ON,ON Semiconductor Corporation,1,2022-06-21
S&P 500,008151,OKE,"ONEOK, Inc.",1,2010-03-15
S&P 500,008068,OXY,Occidental Petroleum Corporation,1,2009-12-18
S&P 500,024617,ODFL,"Old Dominion Freight Line, Inc.",1,2019-12-09
S&P 500,004066,OMC,Omnicom Group Inc.,1,2009-12-18
S&P 500,012142,ORCL,Oracle Corporation,1,2009-12-18
S&P 500,036190,OTIS,Otis Worldwide Corporation,1,2020-04-03
S&P 500,008253,PCAR,PACCAR Inc,1,2009-12-18
S&P 500,008264,PCG,PG&E Corporation,1,2022-10-03
S&P 500,008247,PPG,"PPG Industries, Inc.",1,2009-12-18
S&P 500,008455,PPL,PPL Corporation,1,2009-12-18
S&P 500,018699,PTC,PTC Inc.,1,2021-04-20
S&P 500,128978,PKG,Packaging Corporation of America,1,2017-07-26
S&P 500,036910,PLTR,Palantir Technologies Inc.,1,2024-09-23
S&P 500,171067,PANW,"Palo Alto Networks, Inc.",1,2023-06-20
S&P 500,013714,PSKY,Paramount Skydance Corporation,1,2025-08-07
S&P 500,008358,PH,Parker-Hannifin Corporation,1,2009-12-18
S&P 500,024616,PYPL,"PayPal Holdings, Inc.",1,2015-07-20
S&P 500,008402,PAYX,"Paychex, Inc.",1,2009-12-18
S&P 500,020116,PAYC,"Paycom Software, Inc.",1,2020-01-28
S&P 500,008463,PNR,Pentair plc,1,2014-06-03
S&P 500,008479,PEP,"PepsiCo, Inc.",1,2009-12-18
S&P 500,008530,PFE,Pfizer Inc.,1,2009-12-18
S&P 500,179621,PM,Philip Morris International Inc.,1,2009-12-18
S&P 500,170841,PSX,Phillips 66,1,2012-05-01
S&P 500,001075,PNW,Pinnacle West Capital Corporation,1,2009-12-18
S&P 500,061420,POOL,Pool Corporation,1,2020-10-07
S&P 500,145701,PFG,"Principal Financial Group, Inc.",1,2009-12-18
S&P 500,029984,PLD,"Prologis, Inc.",1,2011-06-03
S&P 500,143356,PRU,"Prudential Financial, Inc.",1,2009-12-18
S&P 500,008810,PEG,Public Service Enterprise Group Incorporated,1,2009-12-18
S&P 500,010096,PSA,Public Storage,1,2009-12-18
S&P 500,008823,PHM,"PulteGroup, Inc.",1,2009-12-18
S&P 500,024800,QCOM,QUALCOMM Incorporated,1,2009-12-18
S&P 500,066446,PWR,"Quanta Services, Inc.",1,2009-12-18
S&P 500,064166,DGX,Quest Diagnostics Incorporated,1,2009-12-18
S&P 500,010983,RTX,RTX Corporation,1,2020-04-03
S&P 500,064891,RL,Ralph Lauren Corporation,1,2011-08-16
S&P 500,008898,RJF,"Raymond James Financial, Inc.",1,2017-03-20
S&P 500,030822,O,Realty Income Corporation,1,2015-04-07
S&P 500,029099,REG,Regency Centers Corporation,1,2017-03-02
S&P 500,023812,REGN,"Regeneron Pharmaceuticals, Inc.",1,2013-05-01
S&P 500,004674,RF,Regions Financial Corporation,1,2009-12-18
S&P 500,112168,RSG,"Republic Services, Inc.",1,2009-12-18
S&P 500,031887,RMD,ResMed Inc.,1,2017-07-26
S&P 500,004145,RVTY,"Revvity, Inc.",1,2023-05-16
S&P 500,009203,ROK,"Rockwell Automation, Inc.",1,2009-12-18
S&P 500,009225,ROL,"Rollins, Inc.",1,2018-10-01
S&P 500,024925,ROP,"Roper Technologies, Inc.",1,2009-12-23
S&P 500,009248,ROST,"Ross Stores, Inc.",1,2009-12-21
S&P 500,028191,RCL,Royal Caribbean Cruises Ltd.,1,2014-12-05
S&P 500,007163,SPGI,S&P Global Inc.,1,2016-04-28
S&P 500,121382,SBAC,SBA Communications Corporation,1,2017-09-01
S&P 500,025313,STE,STERIS plc,1,2019-12-23
S&P 500,157855,CRM,"Salesforce, Inc.",1,2009-12-18
S&P 500,009465,SLB,Schlumberger Limited,1,2009-12-18
S&P 500,150937,STX,Seagate Technology Holdings plc,1,2021-05-20
S&P 500,008272,SRE,Sempra,1,2009-12-18
S&P 500,171007,NOW,"ServiceNow, Inc.",1,2019-11-21
S&P 500,029389,SPG,"Simon Property Group, Inc.",1,2009-12-18
S&P 500,001327,SWKS,"Skyworks Solutions, Inc.",1,2015-03-12
S&P 500,283184,SW,Smurfit Westrock Plc,1,2024-07-08
S&P 500,009778,SNA,Snap-on Incorporated,1,2009-12-18
S&P 500,045167,SOLV,Solventum Corporation,1,2024-04-01
S&P 500,009882,LUV,Southwest Airlines Co.,1,2009-12-18
S&P 500,010016,SWK,"Stanley Black & Decker, Inc.",1,2010-03-15
S&P 500,025434,SBUX,Starbucks Corporation,1,2009-12-18
S&P 500,010035,STT,State Street Corporation,1,2009-12-18
S&P 500,064030,STLD,"Steel Dynamics, Inc.",1,2022-12-22
S&P 500,010115,SYK,Stryker Corporation,1,2009-12-18
S&P 500,176567,SMCI,"Super Micro Computer, Inc.",1,2024-10-01
S&P 500,020686,SYF,Synchrony Financial,1,2015-11-23
S&P 500,024975,SNPS,"Synopsys, Inc.",1,2017-03-16
S&P 500,010247,SYY,Sysco Corporation,1,2009-12-18
S&P 500,017874,TMUS,"T-Mobile US, Inc.",1,2019-07-15
S&P 500,012138,TROW,"T. Rowe Price Group, Inc.",1,2009-12-18
S&P 500,177267,TEL,TE Connectivity plc,1,2024-09-30
